asof,S,r,q,T,K,type,mid,bid,ask,volume,openInterest,expiration
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,250.0,C,162.05,160.1,164.0,4.0,28.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,255.0,C,157.025,155.75,158.3,79.0,2.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,260.0,C,152.075,150.15,154.0,4.0,21.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,265.0,C,147.10000000000002,145.15,149.05,19.0,35.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,270.0,C,142.1,140.2,144.0,1.0,13.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,275.0,C,137.075,135.6,138.55,5.0,10.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,280.0,C,132.1,130.2,134.0,1.0,58.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,285.0,C,127.125,125.25,129.0,5.0,53.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,290.0,C,122.125,120.25,124.0,9.0,13.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,295.0,C,117.175,115.3,119.05,1.0,9.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,300.0,C,112.175,110.35,114.0,6.0,94.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,305.0,C,107.19999999999999,105.35,109.05,1.0,7.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,310.0,C,102.225,100.75,103.7,24.0,25.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,315.0,C,97.30000000000001,96.4,98.2,30.0,37.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,320.0,C,92.15,91.2,93.1,181.0,81.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,325.0,C,87.425,85.85,89.0,26.0,59.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,330.0,C,82.45,80.9,84.0,7.0,51.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,335.0,C,77.45,75.95,78.95,8.0,103.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,340.0,C,72.4,71.65,73.15,73.0,96.0,2026-02-27
2026-02-21,411.82000732421875,0.03,0.0,0.014599449528285135,345.0,C,67.275,66.3,68.25,22.0,111.0,2026-02-27
